odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00202-0126,2022-2023,SSOCONTACTS,00202,PLANO ISD,Educational Institution,Public,10,2,Active,RENEWAL,0126,MITCHELL EL,Active,RENEWAL,043-910,COLLIN,COLLIN,2700 W 15TH,PLANO,TX,75075-7524,2700 W 15TH,PLANO,TX,75075-7524,4223 BRIARGROVE LN,DALLAS,TX,75287-6604,Dr.,Theresa,Williams,Superintendent,theresa.williams@pisd.edu,4697528122,Mrs.,Ashley,Hipp,Food and Nutritional Services Director,ashley.hipp@pisd.edu,4697525791,Mrs.,Ashley,Hipp,Food and Nutritional Services Director,ashley.hipp@pisd.edu,4697525791,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:30 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.837598997, 32.99348401]}",70,22,16,4,2,7:30 AM - 7:50 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00570-1100,2022-2023,SSOCONTACTS,00570,MISSION CONS ISD,Educational Institution,Public,1,5,Active,RENEWAL,1100,CWV Gymnasium Complex,Active,NEWAPP,108-908,HIDALGO,HIDALGO,1201 BRYCE DR,MISSION,TX,78572-4399,1201 BRYCE DR,MISSION,TX,78572-4399,800 E. 1st Street,Mission,TX,78572,Dr.,Carolina,Perez,SUPERINTENDENT,missioncisd@mcisd.org,9563235500,Mrs.,Maria D. (Rosy),Woodrum,Child Nutrition Program Director,rwoodrum@mcisd.org,9563233800,Mrs.,Maria,Woodrum,Child Nutrition Program Director,rwoodrum@mcisd.org,9563233800,Open,2023-06-05T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.319094013, 26.205252999]}",36,134,16,15,20,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00571-0130,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0130,ARNOLD EL,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,615 W. EL DORA RD,Pharr,TX,78577,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-05T00:00:00.000,2023-08-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.185367034, 26.226039993]}",41,134,16,15,20,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00276-0015,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0015,SEAGOVILLE H S,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,15920 SEAGOVILLE RD,DALLAS,TX,75253-5705,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Andrea,Ramirez,Lead Area Supervisor,ARamirez@dallasisd.org,2149325598,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:15 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.58319298, 32.678754988]}",110,46,16,30,16,8:30 AM - 9:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00140-0104,2022-2023,SSOCONTACTS,00140,BURNET CONS ISD,Educational Institution,Public,13,4,Active,RENEWAL,0104,RJ RICHEY ELEMENTARY,Active,RENEWAL,027-903,BURNET,BURNET,208 E BRIER LN,BURNET,TX,78611-0180,208 E BRIER LN,BURNET,TX,78611-0180,500 E Graves Street,Burnet,TX,78611,Mr.,Keith,McBurnett,SUPERINTENDENT,kmcburnett@burnetcisd.net,5127562124,Mrs.,Kayla,Earnshaw,Director of Food Service,kearnshaw@burnetcisd.net,5127155150,Ms.,Kayla,Earnshaw,Director of Food Service,kearnshaw@burnetcisd.net,5127155150,Open,2023-06-01T00:00:00.000,2023-07-31T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:15 AM - 1:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.225304959, 30.770442021]}",19,84,16,31,24,7:15 AM - 10:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00575-0041,2022-2023,SSOCONTACTS,00575,WESLACO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0041,M HOGE ACADEMY MIDDLE,Active,RENEWAL,108-913,HIDALGO,HIDALGO,319 W 4TH ST,WESLACO,TX,78596-6047,P O BOX 266,WESLACO,TX,78599-0266,2302 N INTERNATIONAL BLVD,WESLACO,TX,78596,Dr.,Dino,Coronado,Superintendent,superintendent@wisd.us,9569696503,Mrs.,Dora,Pena,Food and Nutrition Services Director,dpena@wisd.us,9569696593,Mrs.,Dora,Pena,Food and Nutrition Services Director,dpena@wisd.us,9569696593,Open,2023-05-31T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.957003004, 26.183316007]}",39,134,16,34,27,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00080-0041,2022-2023,SSOCONTACTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0041,BRENTWOOD MIDDLE SCHOOL,Active,RENEWAL,015-905,BEXAR,BEXAR,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,1626 W.Thompson,San Antonio,TX,78237,Mr.,Elvis,Williams,Assistant Superintendent of Operations,elvis.williams@eisd.net,2108982000,Ms.,Roxanne,Ruiz,Child Nutrition Director,Roxanne.Ruiz@eisd.net,2108984037,Mrs.,Martha,Lemus-Campacos,CN Manager,marhta.lemus@eisd.net,2108984120,Open,2023-06-12T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.555566025, 29.395133983]}",124,44,16,20,26,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00568-1006,2022-2023,SSOCONTACTS,00568,MCALLEN ISD,Educational Institution,Public,1,5,Active,RENEWAL,1006,IGLESIA UNION CHRISTIANA,Active,RENEWAL,108-906,HIDALGO,HIDALGO,2000 N 23RD ST,MCALLEN,TX,78501-2000,2000 N 23RD ST,MCALLEN,TX,78501-2000,6500 N. 46th Street,Mcallen,TX,78504,Dr.,Jose,Gonzalez,SUPERINTENDENT,Jose.Gonzalez@mcallenisd.net,9566186000,Ms.,Alexandra,Molina,Child Nutrition Director,alexandra.molina@mcallenisd.net,9566323226,Mrs.,Sonia,Esquivel,Director,sonia.esquivel@mcallenisd.net,9566323226,Open,2023-07-10T00:00:00.000,2023-07-13T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.260789997, 26.266839996]}",41,134,16,15,20,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00574-1016,2022-2023,SSOCONTACTS,00574,LA JOYA ISD,Educational Institution,Public,1,5,Active,RENEWAL,1016,PROYECTO DESAROLLO HUMANO,Active,RENEWAL,108-912,HIDALGO,HIDALGO,200 West Expressway 83,LA JOYA,TX,78560-4002,200 West Expressway 83,LA JOYA,TX,78560-4002,17617 Sabal Palm Drive,Penitas,TX,78576,Dr.,Gisela,Saenz,SUPERINTENDENT,G.SAENZ2@LAJOYAISD.NET,9563232002,Mr.,Rolando,Hernandez,Director of Child Nutrition Services,r.hernandez11@lajoyaisd.net,9563232114,Mr.,Rolando,Hernandez,Director of Child Nutrition Services,r.hernandez11@lajoyaisd.net,9563232110,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.448157971, 26.330485002]}",35,134,16,15,20,8:30 AM - 9:30 AM,"M, T, W, TH, F",,,,,Proyecto Desarrollo Humano,,,,,,,,
00374-0103,2022-2023,SSOCONTACTS,00374,FLATONIA ISD,Educational Institution,Public,13,4,Active,RENEWAL,0103,WHISPERING HILLS ACHIEVEMENT CENTER,Active,RENEWAL,075-901,FAYETTE,FAYETTE,400 E 4TH,FLATONIA,TX,78941-0189,400 E 4TH,FLATONIA,TX,78941-0189,400 E 4th St,Flatonia,TX,78941,Mr.,Chris,Sodek,Superintendent,csodek@flatonia.txed.net,3618652941,Mrs.,Connie,Koopmann,Child Nutrition Director,ckoopmann@flatonia.txed.net,3618652941,,Connie,Koopmann,Child Nutrition Director,ckoopmann@flatonia.txed.net,3618652941,Open,2023-05-30T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.102868965, 29.682473]}",85,163,16,10,18,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01122-0107,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0107,TARVER EL,Active,RENEWAL,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,3000 Tilden Ave,Laredo,TX,78040,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Mr.,Roberto,Cuellar,CNP Director,robcuellar@laredoisd.org,9562731600,Open,2023-05-30T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.488173034, 27.523852013]}",42,220,16,28,21,7:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00620-0101,2022-2023,SSOCONTACTS,00620,CELESTE ISD,Educational Institution,Public,10,2,Active,RENEWAL,0101,CELESTE ELEMENTARY,Active,RENEWAL,116-902,HUNT,HUNT,207 S FIFTH ST,CELESTE,TX,75423-0067,207 S FIFTH ST,CELESTE,TX,75423-0067,605 W COCKRELL ST,CELESTE,TX,75423-0067,Mr.,Brad,Connelly,SUPERINTENDENT,connellyb@celesteisd.org,9035684721,Dr.,Beth,Ray,Assistant Superintendent,rayb@celesteisd.org,9035684721,Dr.,Beth,Ray,Assistant Superintendent,rayb@celesteisd.org,9035684721,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.20078801, 33.292744985]}",2,230,16,3,8,7:45 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00562-0130,2022-2023,SSOCONTACTS,00562,IDEA ACADEMY,Educational Institution,Charter,1,5,Active,RENEWAL,0130,IDEA Ingram Hills Academy,Active,RENEWAL,108-807,HIDALGO,BEXAR,2115 W. Pike Boulevard,Weslaco,TX,78596-4694,2115 W. Pike Blvd.,Weslaco,TX,78596-4694,3115 MAJESTIC DR,SAN ANTONIO,TX,78228,Dr.,Jeff,Cottrill,Superintendent,jeffrey.cottrill@ideapublicschools.org,9563143416,Mr.,Fernando,Aguilar,Vice President of The Child Nutrition Program,fernando.aguilar@ideapublicschools.org,9563731748,,Joe,Morales,Cafeteria Manager,joe.morales@ideapublicschools.org,8303213912,Open,2023-05-30T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.595327008, 29.468225981]}",125,44,16,20,26,7:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00496-0006,2022-2023,SSOCONTACTS,00496,"YES PREP PUBLIC SCHOOLS, INC.",Educational Institution,Charter,4,3,Active,RENEWAL,0006,YES PREP - BRAYS OAKS,Active,RENEWAL,101-845,HARRIS,HARRIS,5455 South Loop East Fwy,HOUSTON,TX,77033-1603,5455 South Loop East Fwy,HOUSTON,TX,77033-1603,9000 West Bellfort,HOUSTON,TX,77031,Mr.,Mark,DiBella,CEO,mark.dibella@yesprep.org,7139679000,Dr.,Jessiica,Howell,Director of Child Nutrition Program,jessiica.howell@yesprep.org,7138425444,Dr.,Jessiica,Howell,Child Nutrition Program Director,jessiica.howell@yesprep.org,7138425444,Open,2023-06-05T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:40 AM - 12:20 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.534234008, 29.657114013]}",131,121,16,9,13,8:20 AM - 8:50 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01122-1245,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1245,AREA HEALTH EDUCATION CENTER - MRGB,Active,NEWAPP,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,"1505 Calle De Norte, Ste. 430",Laredo,TX,78041,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Ms.,Julie,Bazan,Executive Director,bazanj@mrgbahec.org,9567120037,Open,2023-07-10T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.480920005, 27.555832997]}",42,220,16,28,21,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00568-0114,2022-2023,SSOCONTACTS,00568,MCALLEN ISD,Educational Institution,Public,1,5,Active,RENEWAL,0114,FIELDS EL,Active,RENEWAL,108-906,HIDALGO,HIDALGO,2000 N 23RD ST,MCALLEN,TX,78501-2000,2000 N 23RD ST,MCALLEN,TX,78501-2000,500 DALLAS AVE,MCALLEN,TX,78501-2751,Dr.,Jose,Gonzalez,SUPERINTENDENT,Jose.Gonzalez@mcallenisd.net,9566186000,Ms.,Alexandra,Molina,Child Nutrition Director,alexandra.molina@mcallenisd.net,9566323226,Mrs.,Sonia,Esquivel,Director,sonia.esquivel@mcallenisd.net,9566323226,Open,2023-05-30T00:00:00.000,2023-08-03T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.225975008, 26.199724002]}",41,134,16,15,20,7:30 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01003-0101,2022-2023,SSOCONTACTS,01003,BRECKENRIDGE ISD,Educational Institution,Public,14,1,Active,RENEWAL,0101,EAST EL,Active,RENEWAL,215-901,STEPHENS,STEPHENS,208 N. MILLER ST,BRECKENRIDGE,TX,76424-1737,208 N. MILLER ST,BRECKENRIDGE,TX,76424-1738,1310 E. ELM St,BRECKENRIDGE,TX,76424,Mr.,Bryan,Allen,Superintendent,bryan.allen@breckenridgeisd.org,2545229600,Mr.,Mark,Nelson,Child Nutrition Director,mark.nelson@breckenridgeisd.org,2545229600,,MARK,NELSON,DIRECTOR OF CHILD NUTRITION,mark.nelson@breckenridgeisd.org,2545229600,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Non-Congregate - Grab-and-go at central site,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.886017026, 32.756711004]}",60,42,16,25,10,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00276-0032,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0032,JAMES MADISON H S,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,3000 MARTIN LUTHER KING JR BLV,DALLAS,TX,75215-2499,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Andrea,Ramirez,Lead Area Supervisor,ARamirez@dallasisd.org,2149325598,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.764817004, 32.771259012]}",100,46,16,30,23,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00440-0041,2022-2023,SSOCONTACTS,00440,PINE TREE ISD,Educational Institution,Public,7,2,Active,RENEWAL,0041,PINE TREE J H,Active,RENEWAL,092-904,GREGG,GREGG,1701 PINE TREE RD,LONGVIEW,TX,75604-1909,P O BOX 5878,LONGVIEW,TX,75608-5878,2100 N W LOOP 281,LONGVIEW,TX,75604-5878,Mr.,Steve,Clugston,Superintendent,sclugston@ptisd.org,9032955000,Ms.,Michelle,Mitchell,Child Nutrition Director,mmitchell@ptisd.org,9032955087,Ms.,Michelle,Mitchell,Director,mmitchell@ptisd.org,9032955087,Open,2023-07-10T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:30 PM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.783877067, 32.519370877]}",7,149,16,1,1,8:25 AM - 8:45 AM,"M, T, W, TH",,,,,,,,,,,,,
00789-1261,2022-2023,SSOCONTACTS,00789,WACO ISD,Educational Institution,Public,12,2,Active,RENEWAL,1261,Trendwood Apartments,Active,NEWAPP,161-914,MCLENNAN,MCLENNAN,501 Franklin Ave,Waco,TX,76701-0027,2025 S. 19th Street,Waco,TX,76706-3018,1700 Dallas Circle,Waco,TX,76704,Ms.,Sheryl,Davis,Assistant Superintendent of Finance and Operations,sheryl.davis@wacoisd.org,2547559440,Ms.,Sherry,Smith,WISD Director of Business Services,sherry.smith@wacoisd.org,2547559452,Ms.,Sarah,Hodde,CNS Specialist,sarah.hodde@wacoisd.org,2547525522,Open,2023-05-30T00:00:00.000,2023-08-09T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:00 AM - 11:20 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.138776963, 31.577042042]}",13,206,16,17,22,,,,,,,,,,,,,,,
00999-0111,2022-2023,SSOCONTACTS,00999,GLEN ROSE ISD,Educational Institution,Public,11,2,Active,RENEWAL,0111,RAMOS MOBILE HOME PARK,Active,RENEWAL,213-901,SOMERVELL,SOMERVELL,1102 STADIUM DR,GLEN ROSE,TX,76043-2129,1102 STADIUM DRIVE,Glen Rose,TX,76043-2129,1157 CR 320,GLEN ROSE,TX,76043,Mr.,TRIG,OVERBO,SUPERINTENDENT,overtr@grisd.net,2548983901,Ms.,Brittny,Sanders,Child Nutrition Director,sandbr@grisd.net,2548983907,,BRITTNY,SANDERS,CHILD NUTRITION DIRECTOR,SANDBR@GRISD.NET,2548983907,Open,2023-05-30T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.806325973, 32.285895018]}",58,133,16,25,22,,,P. O. Box 2129,,,,,,,,,,,,
00123-0101,2022-2023,SSOCONTACTS,00123,BRYAN ISD,Educational Institution,Public,6,3,Active,RENEWAL,0101,KEMP ELEMENTARY,Active,RENEWAL,021-902,BRAZOS,BRAZOS,801 S. Ennis,BRYAN,TX,77803-4642,801 S. Ennis,BRYAN,TX,77803-4642,750 BRUIN TRACE,BRYAN,TX,77803,Ms.,Ginger,Carrabine,SUPERINTENDENT,ginger.carrabine@bryanisd.org,9792091002,Mrs.,Sundy,Fryrear,"Director, School Nutrition Services",sundy.fryrear@bryanisd.org,9792097052,,Sundy,Fryrear,"Director, School Nutrition Services",sundy.fryrear@bryanisd.org,9792097052,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.390034033, 30.685547004]}",12,101,16,10,5,7:00 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00106-1092,2022-2023,SSOCONTACTS,00106,TEXARKANA ISD,Educational Institution,Public,8,2,Active,RENEWAL,1092,Deerfield Village,Active,NEWAPP,019-907,BOWIE,BOWIE,4241 SUMMERHILL RD,TEXARKANA,TX,75503-2733,4241 SUMMERHILL RD,TEXARKANA,TX,75503-2733,1600 Waterall,Texarkana,TX,75501,Dr.,Doug,Brubaker,Superintendent,doug.brubaker@txkisd.net,9037943651,Mrs.,Christie,Lammers,Director of Child Nutrition Programs,christie.lammers@txkisd.net,9037922231,Mrs.,Chrystal,Lammers,Director,christie.lammers@txkisd.net,9037922231,Open,2023-06-26T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-94.058230982, 33.431767986]}",1,246,16,1,1,8:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00152-0107,2022-2023,SSOCONTACTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,Active,RENEWAL,0107,HOUSTON EL,Active,RENEWAL,031-903,CAMERON,CAMERON,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,301 E TAFT AVE,HARLINGEN,TX,78550-7760,Dr.,Alicia,Noyola,SUPERINTENDENT,alicia.noyola@hcisd.org,9564309502,Mrs.,Judy K.,"Baker, R.D.",Director of Child Nutrition,judy.baker@hcisd.org,9564273310,,Judy,Baker,Director Child Nutrition Services,judy.baker@hcisd.org,9564273310,Open,2023-06-05T00:00:00.000,2023-06-15T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.69193358, 26.177766333]}",37,144,16,34,27,7:15 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00013-0111,2022-2023,SSOCONTACTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,Active,RENEWAL,0111,TLL Temple Memorial Library,Active,NEWAPP,003-905,ANGELINA,ANGELINA,215 N TEMPLE BLVD,DIBOLL,TX,75941-0550,PO Box 550,DIBOLL,TX,75941-0550,300 Park,Diboll,TX,75941,Ms.,VICKI,THOMAS,SUPERINTENDENT,vthomas@dibollisd.org,9368294718,Mrs.,KERRI,SANFORD,Child Nutrition Supervisor,ksanford@dibollisd.org,9368296262,Mrs.,Kerri,Sanford,Child Nutrition Supervisor,ksanford@dibollisd.org,9368296262,Open,2023-07-06T00:00:00.000,2023-07-27T00:00:00.000,"T,TH",Congregate,Lunch,11:30 AM - 1:00 PM,"T, TH","{'type': 'Point', 'coordinates': [-94.782035982, 31.188071017]}",9,148,16,17,3,,,,,,,,,,,,,,,
00997-0101,2022-2023,SSOCONTACTS,00997,WINONA ISD,Educational Institution,Public,7,2,Active,RENEWAL,0101,WINONA EL,Active,RENEWAL,212-910,SMITH,SMITH,611 WILDCAT DR,WINONA,TX,75792-0218,611 WILDCAT DR,WINONA,TX,75792-0218,611 WILDCAT DR,WINONA,TX,75792-4963,Mr.,Damenion,Miller,SUPERINTENDENT,swoods@winonaisd.org,9039394010,Mrs.,Angela,Nick,Child Nutrition Director,anick@winonaisd.org,9039394891,,Angela,Nick,Child Nutrition Director,anick@winonaisd.org,9039394891,Open,2023-05-31T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:45 AM - 12:15 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.183239968, 32.492311998]}",5,229,16,1,1,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00115-0041,2022-2023,SSOCONTACTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,Active,RENEWAL,0041,CLUTE INT,Active,RENEWAL,020-905,BRAZORIA,BRAZORIA,301 W BRAZOSWOOD DR,CLUTE,TX,77531-3598,P O DRAWER Z,FREEPORT,TX,77541-1926,421 E MAIN ST,CLUTE,TX,77531-4799,Mr.,Danny,Massey,SUPERINTENDENT,dmassey@brazosportisd.net,9797307000,,Amy,Anderson,Director Child Nutrition Services,amy.anderson@brazosportisd.net,9797307110,,Amy,Anderson,Director Child Nutrition,amy.anderson@brazosportisd.net,9797307110,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.400598978, 29.022157019]}",25,143,16,14,17,7:30 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
